일차,순번,id,장소명,분류,이동(분),개장대기(분),체류(분),도착,출발,운영시간
1,1,gj2,쪽샘 44호 신라공주묘,역사·문화유산,0,0,40,10:08,10:48,09:00–18:00
1,2,gj4,황리단길,로컬상권·먹거리,10,2,120,11:00,13:00,11:00–22:00
1,3,gj3,동궁과 월지,역사·문화유산,23,0,70,13:23,14:33,09:00–22:00
1,4,gj6,경주 라원(미디어아트),테마파크·액티비티,32,0,60,15:05,16:05,10:00–20:00
1,5,gj5,경주월드,테마파크·액티비티,32,0,240,16:37,20:37,10:00–21:00
2,1,gj7,추억의 달동네 (귀신의집),테마파크·액티비티,0,60,70,10:00,11:10,10:00–19:00
2,2,gjx1,불국사,역사·문화유산,26,0,90,11:36,13:06,09:00–18:00 · 문의 054-746-9913
2,3,gjx5,석굴암,역사·문화유산,24,0,60,13:30,14:30,"09:00–18:00 · 어른 6,000원 · 054-746-9933"
2,4,nax771,골굴사,역사·문화유산,40,0,70,15:10,16:20,08:00–18:00 · 유료
2,5,gjx14,감포항,로컬상권·먹거리,58,0,60,17:18,18:18,상시 · 공설시장 08:00–19:00
2,6,gjx29,감은사지,역사·문화유산,48,0,40,19:06,19:46,상시 개방 · 무료
2,7,gjx9,문무대왕릉,해양·자연경관,16,0,40,20:02,20:42,상시 개방 · 무료 · 054-779-6324
3,1,gjx8,경주 양남 주상절리,해양·자연경관,0,0,50,09:00,09:50,전망대 09:00–18:00 · 무료 · 054-775-6366
3,2,nax773,양남 주상절리 파도소리길,해양·자연경관,10,0,60,10:00,11:00,상시 개방 · 무료
3,3,nax772,기림사,역사·문화유산,101,0,70,12:41,13:51,08:00–18:00 · 유료
3,4,nax825,무장사지,역사·문화유산,46,0,60,14:37,15:37,상시 개방 · 무료
3,5,gjx18,보문관광단지,힐링·생태·체험,54,0,60,16:31,17:31,상시 개방 · 무료
