도시,장소명(한국어),장소명(영문),분류,위도,경도,UNESCO,한국관광100선,권장체류(분),운영시간,설명
,황리단길 한옥스테이,Hwangnidan-gil hanok stays,,35.8377,129.2097,,,,,
,보문관광단지 리조트,Bomun Resort Complex hotels,,35.8470,129.2619,,,,,
,진현동 게스트하우스,Jinhyeon-dong guesthouses,,35.7900,129.3320,,,,,
,장목면 오션뷰 펜션,Jangmok-myeon ocean-view pensions,,35.0050,128.7011,,,,,
,고현동 비즈니스호텔,Gohyeon-dong business hotels,,34.8863,128.6239,,,,,
,학동몽돌해변 펜션,Hakdong Pebble Beach pensions,,34.7725,128.6398,,,,,
,망상해변 한옥마을,Mangsang Beach hanok village,,37.5478,129.0730,,,,,
,하이원 리조트,High1 Resort,,37.2055,128.8377,,,,,
,행궁동 게스트하우스,Haenggung-dong guesthouses,,37.2818,127.0135,,,,,
,수안보 온천 호텔,Suanbo hot spring hotels,,36.8484,127.9865,,,,,
,영월읍 시내 숙소,Yeongwol town hotels,,37.1836,128.4645,,,,,
,동강시스타 리조트,Donggang Sistar Resort,,37.1705,128.4930,,,,,
,무릉도원면 계곡 펜션,Mureungdowon-myeon valley pensions,,37.2853,128.3571,,,,,
,명동·을지로 호텔,Myeongdong & Euljiro hotels,,37.5700,126.9830,,,,,
,북촌·익선동 한옥 스테이,Bukchon & Ikseon hanok stays,,37.5760,126.9860,,,,,
,잠실 롯데월드타워 권역 호텔,Jamsil tower-district hotels,,37.5133,127.1010,,,,,
,성수 부티크 호텔,Seongsu boutique hotels,,37.5445,127.0557,,,,,
,제주시 연동·노형 호텔,Jeju City hotels,,33.4996,126.5312,,,,,
,성산 일출봉 권역 숙소,Seongsan area stays,,33.4595,126.9266,,,,,
,서귀포 중문 리조트,Jungmun resorts,,33.2496,126.5600,,,,,
,한림·협재 해변 숙소,Hallim & Hyeopjae stays,,33.3948,126.2400,,,,,
,함덕·조천 스테이,Hamdeok & Jocheon stays,,33.5430,126.6690,,,,,
,해운대 해변 호텔,Haeundae beachfront hotels,,35.1586,129.1603,,,,,
,부산역·초량 호텔,Busan Stn & Choryang hotels,,35.1150,129.0403,,,,,
,센텀시티·수영 호텔,Centum City & Suyeong hotels,,35.1538,129.1183,,,,,
,남포동·광복로 숙소,Nampo-dong stays,,35.1013,129.0323,,,,,
,광안리 오션뷰 스테이,Gwangalli ocean-view stays,,35.1533,129.1183,,,,,
,대전역·중앙로 호텔,Daejeon Stn & Jungang-ro hotels,,36.3315,127.4347,,,,,
,둔산·유성 호텔,Dunsan & Yuseong hotels,,36.3512,127.3780,,,,,
,행궁동 한옥·게스트하우스,Haenggung-dong stays,,37.2795,127.0125,,,,,
,수원역 권역 호텔,Suwon Station hotels,,37.2660,127.0008,,,,,
,하이원 리조트,High1 Resort,,37.3805,128.6800,,,,,
,정선읍 시내 숙소,Jeongseon town stays,,37.3806,128.6606,,,,,
,묵호항 오션뷰 스테이,Mukho Port ocean-view stays,,37.4897,129.1289,,,,,
,망상해변 리조트,Mangsang Beach resorts,,37.5228,129.1147,,,,,
