화면,도시,시군,순번,id,장소명,장소명(영문),분류코드,분류,위도,경도,권장체류(분),체류표기,운영시간(원문),개장(파싱),폐장(파싱),운영시간적용,영상장소,확장장소,한국관광100선,유네스코,무장애,자동코스후보,좌표근거
seoul,서울,서울,1,kd1,낙산공원 성곽길,Naksan Park City Wall,herit,역사·문화유산,37.58,127.0075,70,1h 10m,상시 개방 · 무료 · 02-743-7985,,,N,Y,N,N,N,N,Y,종로구 낙산길 41 주소 기반 좌표
seoul,서울,서울,2,kd2,북촌한옥마을,Bukchon Hanok Village,herit,역사·문화유산,37.5826,126.985,90,1h 30m,상시 개방 · 주민 거주 구역 17:00 이후 관람 제한,,,N,Y,N,N,N,N,Y,종로구 계동길 일대 주소 기반 좌표
seoul,서울,서울,3,kd3,명동거리,Myeongdong Street,food,로컬상권·먹거리,37.5636,126.985,110,1h 50m,상점 10:30–22:00 · 노점 17:00 이후,10:30,22:00,Y,Y,N,N,N,N,Y,중구 명동8길 일대 주소 기반 좌표
seoul,서울,서울,4,kd4,남산서울타워,N Seoul Tower,activity,테마파크·액티비티,37.5512,126.9882,120,2h,"10:30–23:00 · 전망대 어른 21,000원 · 02-3455-9277",10:30,23:00,Y,Y,N,N,N,N,Y,용산구 남산공원길 105 주소 기반 좌표
seoul,서울,서울,5,kd5,롯데월드타워 서울스카이,Lotte World Tower Seoul Sky,activity,테마파크·액티비티,37.5125,127.1025,120,2h,"10:00–22:00 · 전망대 어른 29,000원 · 1661-2000",10:00,22:00,Y,Y,N,N,N,N,Y,송파구 올림픽로 300 주소 기반 좌표
seoul,서울,서울,6,kd6,서울올림픽주경기장,Seoul Olympic Stadium,activity,테마파크·액티비티,37.5159,127.0728,80,1h 20m,외부 상시 · 내부는 행사일에 따름,,,N,Y,N,N,N,N,Y,송파구 올림픽로 25 주소 기반 좌표
seoul,서울,서울,7,kd7,청담대교 · 자양역,Cheongdam Bridge & Jayang Stn,heal,힐링·생태·체험,37.5343,127.0678,40,40m,상시,,,N,Y,N,N,N,N,Y,광진구 자양동 7호선 자양역 주소 기반 좌표
seoul,서울,서울,8,kd8,K-POP SQUARE (삼성역 전광판),K-POP SQUARE Media,activity,테마파크·액티비티,37.5115,127.0595,40,40m,상시 · 영상 10:00–23:00,10:00,23:00,Y,Y,N,N,N,N,Y,강남구 영동대로 513 코엑스 주소 기반 좌표
seoul,서울,서울,9,kd9,서울한방진흥센터,Seoul Oriental Medicine Center,heal,힐링·생태·체험,37.5825,127.0374,70,1h 10m,10:00–18:00 · 월요일 휴관 · 02-969-9241,10:00,18:00,Y,Y,N,N,N,N,Y,동대문구 약령중앙로 26 주소 기반 좌표
seoul,서울,서울,10,kd10,경복궁,Gyeongbokgung Palace,herit,역사·문화유산,37.5796,126.977,100,1h 40m,"09:00–18:00 · 화요일 휴궁 · 어른 3,000원 · 02-3700-3900",09:00,18:00,Y,Y,N,N,N,N,Y,종로구 사직로 161 주소 기반 좌표
seoul,서울,서울,11,kd11,뚝섬한강공원,Ttukseom Hangang Park,heal,힐링·생태·체험,37.5295,127.07,80,1h 20m,상시 개방 · 무료,,,N,Y,N,N,N,N,Y,광진구 강변북로 139 주소 기반 좌표
seoul,서울,서울,·,kdx1,창덕궁,Changdeokgung Palace,herit,역사·문화유산,37.5794,126.991,110,1h 50m,"09:00–18:00 · 월요일 휴궁 · 어른 3,000원 · 후원 별도",09:00,18:00,Y,N,Y,N,Y,N,Y,종로구 율곡로 99 주소 기반 좌표
seoul,서울,서울,·,kdx2,광화문광장,Gwanghwamun Square,herit,역사·문화유산,37.5725,126.9769,50,50m,상시 개방 · 무료,,,N,N,Y,Y,N,N,Y,종로구 세종대로 172 주소 기반 좌표
seoul,서울,서울,·,kdx3,삼청동길,Samcheong-dong,food,로컬상권·먹거리,37.5828,126.9817,90,1h 30m,상점 11:00–21:00,11:00,21:00,Y,N,Y,N,N,N,Y,종로구 삼청로 일대 주소 기반 좌표
seoul,서울,서울,·,kdx4,익선동 한옥거리,Ikseon-dong,food,로컬상권·먹거리,37.5735,126.9903,80,1h 20m,상점 11:00–23:00,11:00,23:00,Y,N,Y,N,N,N,Y,종로구 수표로28길 주소 기반 좌표
seoul,서울,서울,·,kdx5,인사동,Insa-dong,food,로컬상권·먹거리,37.574,126.9856,70,1h 10m,상점 10:00–21:00,10:00,21:00,Y,N,Y,N,N,N,Y,종로구 인사동길 주소 기반 좌표
seoul,서울,서울,·,kdx6,국립중앙박물관,National Museum of Korea,herit,역사·문화유산,37.524,126.9803,150,2h 30m,10:00–18:00 · 상설전시 무료 · 02-2077-9000,10:00,18:00,Y,N,Y,Y,N,N,Y,용산구 서빙고로 137 주소 기반 좌표
seoul,서울,서울,·,kdx7,흥인지문 · 한양도성,Heunginjimun & City Wall,herit,역사·문화유산,37.5712,127.0094,50,50m,상시 개방 · 무료,,,N,N,Y,N,N,N,Y,종로구 종로 288 주소 기반 좌표
seoul,서울,서울,·,kdx8,성수동 카페거리,Seongsu Cafe Street,food,로컬상권·먹거리,37.5445,127.0557,100,1h 40m,상점 11:00–22:00,11:00,22:00,Y,N,Y,N,N,N,Y,성동구 연무장길 주소 기반 좌표
seoul,서울,서울,·,kdx9,코엑스 별마당도서관,Starfield Library COEX,activity,테마파크·액티비티,37.5126,127.0589,50,50m,10:30–22:00 · 무료,10:30,22:00,Y,N,Y,N,N,N,Y,강남구 영동대로 513 주소 기반 좌표
seoul,서울,서울,·,kdx10,서울약령시 한의약박물관,Seoul Yangnyeongsi Herb Museum,heal,힐링·생태·체험,37.583,127.0382,50,50m,10:00–18:00 · 월요일 휴관 · 무료,10:00,18:00,Y,N,Y,N,N,N,Y,동대문구 약령중앙로 26 주소 기반 좌표
seoul,서울,서울,·,kdx11,잠실 롯데월드 어드벤처,Lotte World Adventure,activity,테마파크·액티비티,37.5111,127.098,300,5h,"10:00–21:00 · 종일권 어른 62,000원",10:00,21:00,Y,N,Y,N,N,N,Y,송파구 올림픽로 240 주소 기반 좌표
