순번,지역,열린관광지명,주소,비고
1,수도권,인천 개항장역사문화공간,인천광역시 중구 제물량로232번안길 27,앱 데이터에 없음 — 신규 추가 필요
2,수도권,인천 월미문화의거리,인천광역시 중구 월미로 252,앱 데이터에 없음 — 신규 추가 필요
3,수도권,인천 연안부두해양광장,인천광역시 중구 연안부두로 70 (항동7가),앱 데이터에 없음 — 신규 추가 필요
6,수도권,시흥 갯골생태공원,경기도 시흥시 동서로 287 (장곡동),앱 데이터에 없음 — 신규 추가 필요
9,수도권,고양 행주송학커뮤니티센터,경기도 고양시 덕양구 행주산성로 38 (행주외동54-5),앱 데이터에 없음 — 신규 추가 필요
11,수도권,수원 화성장안문,경기도 수원시 팔달구 정조로 910 (장안동),앱 데이터에 없음 — 신규 추가 필요
15,충청권,예산 예당관광지,충청남도 예산군 예당관광로 102 예당호휴게소,앱 데이터에 없음 — 신규 추가 필요
16,충청권,예산 대흥슬로시티,충청남도 예산군 대흥면 중리길 49,앱 데이터에 없음 — 신규 추가 필요
17,충청권,예산 봉수산 자연휴양림&수목원,충청남도 예산군 대흥면 임존성길 153,앱 데이터에 없음 — 신규 추가 필요
20,충청권,청주동물원,충청북도 청주시 상당구 명암로 171,앱 데이터에 없음 — 신규 추가 필요
21,충청권,청주 명암유적지,충청북도 청주시 상당구 성내로124번길 14,앱 데이터에 없음 — 신규 추가 필요
22,충청권,충주 세계무술공원,충청북도 충주시 남한강로 24,앱 데이터에 없음 — 신규 추가 필요
23,충청권,충주 중앙탑사적공원,충청북도 충주시 중앙탑면 중앙탑길 112-28,앱 데이터에 없음 — 신규 추가 필요
24,충청권,충주 충주호체험관광지,,앱 데이터에 없음 — 신규 추가 필요
28,충청권,단양 다리안관광지,충청북도 단양군 단양읍 소백산등산길 12,앱 데이터에 없음 — 신규 추가 필요
30,전라권,익산 고스락,전라북도 익산시 함열읍 익산대로 1424-14,앱 데이터에 없음 — 신규 추가 필요
31,전라권,군산 시간여행마을,전라북도 군산시 내항1길 8 (장미동),앱 데이터에 없음 — 신규 추가 필요
34,전라권,완주 삼례문화예술촌,전라북도 완주군 삼례읍 삼례역로 81-13,앱 데이터에 없음 — 신규 추가 필요
35,전라권,진안 마이산도립공원 남부,전라북도 진안군 진안읍 마이산로 130,앱 데이터에 없음 — 신규 추가 필요
36,전라권,진안 마이산도립공원 북부,전라북도 진안군 진안읍 마이산로 130,앱 데이터에 없음 — 신규 추가 필요
42,전라권,전주 동물원,전라북도 전주시 덕진구 소리로 68,앱 데이터에 없음 — 신규 추가 필요
45,전라권,부안 모항해수욕장,전라북도 부안군 변산면 모항길 22,앱 데이터에 없음 — 신규 추가 필요
46,전라권,임실 치즈테마파크,전라북도 임실군 성수면 도인2길 50,앱 데이터에 없음 — 신규 추가 필요
47,전라권,임실 옥정호외얏날,전라북도 임실군 운암면 입석리 458,앱 데이터에 없음 — 신규 추가 필요
48,전라권,장수 와룡 자연휴양림,전라북도 장수군 천천면 비룡로 632,앱 데이터에 없음 — 신규 추가 필요
49,전라권,장수누리파크,전라북도 장수군 장수읍 논개사당길 65,앱 데이터에 없음 — 신규 추가 필요
50,전라권,장수 방화동 자연휴양림,전라북도 장수군 번암면 방화동로 778,앱 데이터에 없음 — 신규 추가 필요
51,전라권,장수 뜬봉샘 생태관광지,전라북도 장수군 장수읍 물뿌랭이길 10-18,앱 데이터에 없음 — 신규 추가 필요
52,전라권,고창 선운산 도립공원,전라북도 고창군 아산면 선운사로 158-6,앱 데이터에 없음 — 신규 추가 필요
53,전라권,순창 향가오토캠핑장,전라북도 순창군 풍산면 향가로 575,앱 데이터에 없음 — 신규 추가 필요
54,전라권,순창 강천산군립공원,전라북도 순창군 팔덕면 강천산길 97,앱 데이터에 없음 — 신규 추가 필요
55,전라권,곡성 섬진강 기차마을,전라남도 곡성군 오곡면 기차마을로 232,앱 데이터에 없음 — 신규 추가 필요
56,전라권,남원관광지,전라북도 남원시 양림길 43 (어현동),앱 데이터에 없음 — 신규 추가 필요
57,전라권,남원 국악의 성지,전라북도 남원시 운봉읍 비전길 69,앱 데이터에 없음 — 신규 추가 필요
58,전라권,남원 지리산 허브밸리,전라북도 남원시 운봉읍 바래봉길 214,앱 데이터에 없음 — 신규 추가 필요
59,전라권,남원 백두대간 생태교육장 전시회,전북 남원시 운봉읍 운봉로 151,앱 데이터에 없음 — 신규 추가 필요
61,전라권,남원관광지,전라북도 남원시 양림길 43 (어현동),앱 데이터에 없음 — 신규 추가 필요
62,전라권,남원항공우주천문대,전라북도 남원시 양림길 48-63 (노암동),앱 데이터에 없음 — 신규 추가 필요
65,전라권,순천 순천만 국가공원,전라남도 순천시 국가정원1호길 47 (오천동),앱 데이터에 없음 — 신규 추가 필요
69,전라권,장흥 편백우드랜드,전라남도 장흥군 장흥읍 우드랜드길 180 (장흥읍),앱 데이터에 없음 — 신규 추가 필요
72,전라권,완도 정도리 구계등,전라남도 완도군 완도읍 정도리 152-1,앱 데이터에 없음 — 신규 추가 필요
74,경상권,대구 사문진주막촌,대구광역시 달성군 화원읍 사문진로1길 40-12,앱 데이터에 없음 — 신규 추가 필요
75,경상권,대구 비슬산군립공원,대구광역시 달성군 유가읍 일연선사길 61,앱 데이터에 없음 — 신규 추가 필요
